"","S1_bulk1","S1_bulk2","S1_bulk3","S1_bulk4","S1_bulk5","S1_rAo1","S1_rAo2","S1_rAo3","S1_rAo4","S1_rAo5","S1_rAo6","S2_bulk1","S2_bulk2","S2_bulk3","S2_bulk4","S2_bulk5","S2_rVo1","S2_rVo2","S2_rVo3","S2_rVo4","S2_rVo5","S2_rVo6","S2_rVo7","S1_bulk6","S1_bulk7","S1_bulk8","S1_bulk9","S1_bulk10","S1_rAo7","S1_rAo8","S1_rAo9","S1_rAo10","S2_bulk6","S2_bulk7","S2_bulk8","S2_bulk9","S2_bulk10","S2_rVo8","S2_rVo9","S2_rVo10"
"OTU_69",84,107,151,64,372,152,378,73,45,90,109,146,324,341,211,103,439,121,206,49,217,168,207,378,180,76,448,159,332,121,230,0,109,393,115,354,89,162,150,129
"OTU_70",0,0,0,0,0,0,0,0,0,0,0,0,0,24,13,48,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,130,23,0,0
"OTU_71",0,18,41,0,36,0,30,28,30,0,0,30,19,58,36,38,8,87,36,0,9,0,113,16,31,36,20,142,67,0,37,0,88,28,47,62,107,149,26,67
"OTU_72",0,16,0,0,44,0,0,10,0,0,0,130,31,131,138,63,154,34,38,0,16,48,41,0,0,60,0,0,0,6,0,0,80,187,101,83,91,103,64,86
"OTU_73",0,0,0,0,0,0,0,0,0,0,0,0,5,20,17,57,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,68,93,155,45,10
"OTU_74",0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,13,177,126,0,0,0,35,80,0,0,0,0,0,0,0,0,0,22,47,0,0,13,157,50,160
"OTU_75",0,0,0,0,35,0,30,0,0,0,0,137,128,42,147,94,357,314,110,82,44,287,208,0,0,0,0,12,0,14,34,0,187,239,103,101,66,334,199,727
"OTU_77",0,14,27,29,40,13,161,8,25,37,28,86,52,36,81,110,87,229,225,83,129,86,212,33,130,16,22,9,89,123,61,7,64,134,81,34,63,264,111,217
"OTU_78",12,0,0,12,68,16,0,0,0,0,0,0,64,26,17,58,166,0,41,0,0,34,47,98,0,0,16,26,42,0,0,0,43,55,61,28,44,78,77,88
"OTU_79",0,43,68,0,159,83,45,18,20,107,0,95,70,84,113,66,216,32,9,7,0,69,73,25,30,26,0,32,64,0,24,0,47,47,48,117,65,86,36,177
"OTU_80",164,127,68,81,104,29,202,143,236,366,1219,103,122,98,142,84,168,63,780,354,197,112,55,553,245,256,0,138,491,139,162,40,86,263,295,217,128,41,67,41
"OTU_81",0,15,45,0,10,50,121,43,22,68,21,42,79,23,53,46,54,44,15,23,33,73,13,0,99,0,24,39,11,8,70,71,57,90,19,26,79,124,61,89
"OTU_82",543,477,324,0,189,44,156,30,16,18,0,67,67,128,179,151,231,16,150,0,148,47,0,352,0,453,958,500,223,52,146,0,150,165,59,273,257,37,169,18
"OTU_83",0,64,54,26,31,0,23,0,1,0,0,15,70,21,54,68,46,49,42,7,62,23,37,0,0,16,0,21,11,0,16,0,44,94,13,53,100,190,117,47
"OTU_84",0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,34,125,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,32,0,21,0
"OTU_86",4,13,0,6,15,0,41,12,5,2,2,76,73,63,73,27,130,14,311,18,64,19,0,2,6,0,37,0,17,0,5,8,118,81,94,94,82,25,0,18
"OTU_87",0,0,0,0,0,0,0,0,0,0,0,34,0,10,0,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,0
"OTU_88",0,0,46,0,10,0,0,0,0,0,0,141,57,90,86,138,211,119,15,8,61,38,48,0,0,0,0,0,0,0,0,0,114,82,76,75,184,154,68,119
"OTU_89",0,0,0,34,0,0,14,19,8,0,0,60,41,0,64,112,172,159,119,266,243,99,278,30,22,0,0,0,38,0,65,0,160,118,342,0,156,275,212,281
"OTU_90",0,19,100,0,175,0,75,21,3,0,23,47,76,78,70,63,164,120,185,17,315,102,139,44,58,16,6,0,74,5,58,1,18,208,280,190,94,195,147,145
"OTU_91",8,0,80,59,74,20,180,90,25,85,50,9,168,60,74,149,126,109,253,291,395,94,364,67,85,129,79,168,178,123,87,41,174,363,290,83,214,254,193,172
"OTU_92",29,121,194,106,152,34,151,226,246,377,578,60,229,205,199,107,170,92,314,140,621,94,178,166,682,317,49,101,560,931,405,293,89,116,145,238,107,97,105,118
"OTU_93",842,112,29,0,24,85,10,18,134,0,44,19,26,0,0,9,54,33,100,0,9,0,9,72,28,116,542,184,69,17,36,0,21,22,15,11,23,30,31,21
"OTU_94",44,124,249,17,106,81,373,157,267,687,54,22,94,85,73,95,82,307,162,340,93,131,175,17,456,47,65,73,90,277,331,322,168,184,160,22,216,242,401,79
"OTU_95",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21,0,0,10,0,0,3,53,0,0,0,0,0,0,0,0,0,0,0,43,0,61,0,0,0
"OTU_96",0,0,0,0,0,0,0,0,0,0,0,82,11,102,29,0,200,9,63,0,14,0,6,0,0,0,0,0,0,0,0,0,0,0,23,36,25,20,0,0
"OTU_98",0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,26,94,111,0,0,0,0,29,0,0,0,0,0,0,0,0,0,40,32,0,20,39,131,40,149
"OTU_99",4,0,27,0,21,13,12,11,27,0,5,176,80,252,141,85,342,48,31,0,22,13,16,13,19,26,185,26,25,0,0,0,98,39,39,264,166,31,25,86
"OTU_100",0,0,24,6,0,0,29,13,0,18,0,68,74,19,34,99,91,261,112,187,68,88,297,0,4,0,0,11,110,2,98,0,178,126,176,13,150,288,206,193
"OTU_101",0,0,0,0,0,0,0,0,0,0,0,19,0,28,0,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,16
"OTU_102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,22,19,0
"OTU_105",26,341,297,12,272,51,234,69,134,28,35,67,96,46,94,40,100,114,178,80,44,41,64,37,242,150,85,146,76,71,148,72,63,92,3,71,35,102,122,119
"OTU_106",0,32,0,0,0,0,0,0,0,0,0,30,31,43,41,35,15,26,20,0,27,0,18,0,0,0,19,0,0,0,16,0,52,39,35,14,74,48,23,21
"OTU_107",0,72,322,530,95,11,533,26,0,60,281,25,47,12,56,88,29,874,289,392,643,22,123,190,68,15,0,227,141,42,309,0,65,147,75,24,227,336,315,41
"OTU_108",0,0,875,17,101,5,557,0,0,144,0,81,193,35,79,32,114,111,225,1051,240,36,100,9,10,22,0,414,25,99,7,33,51,73,143,30,177,95,140,75
"OTU_109",166,10,0,0,4,482,0,0,0,0,0,22,0,39,37,13,30,0,0,0,0,0,0,74,0,0,315,0,0,0,0,0,19,0,12,40,27,0,0,0
"OTU_110",0,51,73,0,47,0,0,0,0,0,0,109,22,95,121,68,92,31,0,0,0,32,0,0,0,0,0,0,0,0,0,0,108,132,47,158,186,54,41,66
"OTU_111",0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,25,89,88,0,0,5,0,51,0,0,0,0,0,0,0,0,0,27,26,23,0,14,64,44,143
"OTU_112",55,95,100,6,70,40,0,0,0,0,0,24,10,41,45,35,46,0,50,9,25,34,12,0,10,235,218,34,29,12,0,0,53,56,23,160,64,22,29,17
"OTU_113",189,47,159,167,162,208,486,91,32,231,101,39,91,123,130,131,158,118,174,325,102,91,144,359,210,43,146,190,269,131,146,19,90,153,103,173,168,118,290,119
"OTU_114",0,0,0,0,0,0,0,0,0,0,0,17,24,36,24,49,58,17,18,0,0,3,14,0,0,0,0,0,0,0,0,0,96,20,13,52,79,54,49,37
"OTU_115",241,73,436,114,194,0,126,221,181,247,192,99,243,54,63,249,164,3,88,35,74,68,63,177,479,252,10,284,215,274,384,418,93,301,60,77,0,0,179,25
"OTU_116",0,0,0,0,0,0,0,0,0,0,0,24,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,11,0,0,0
"OTU_117",474,167,137,0,60,229,0,84,79,70,62,59,40,208,125,39,137,0,65,9,87,12,23,97,88,213,405,52,115,0,25,26,53,90,94,199,66,17,47,37
"OTU_118",0,0,0,0,0,17,4,9,6,11,25,116,104,0,70,52,248,92,29,16,29,166,144,0,21,0,0,0,7,0,2,0,59,102,61,64,23,196,108,316
"OTU_119",400,110,104,0,96,101,19,36,0,0,0,80,7,122,140,59,64,75,48,15,66,21,82,50,21,45,246,64,48,48,4,0,108,109,13,36,191,136,84,93
"OTU_120",166,117,173,194,99,57,562,45,0,36,245,18,50,82,71,26,31,162,170,163,190,14,47,141,44,172,74,59,340,43,290,18,86,91,54,122,82,91,216,33
"OTU_121",0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,29,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,53,0,18,1
"OTU_122",792,349,50,21,135,182,66,0,0,0,0,0,19,92,29,14,16,0,20,0,7,14,0,149,0,85,343,70,0,0,11,0,26,24,0,63,40,13,19,0
"OTU_123",570,260,133,34,178,112,155,73,86,0,0,24,33,126,129,20,103,60,165,11,106,56,64,119,48,363,414,160,200,103,249,11,140,213,51,343,114,75,211,70
"OTU_124",34,44,124,30,76,12,241,77,37,64,0,28,36,45,34,43,44,34,73,46,118,14,27,43,30,66,33,101,49,187,172,32,82,31,52,77,118,61,38,40
"OTU_125",125,55,99,0,57,183,214,0,0,39,0,59,24,69,67,73,110,198,52,54,25,67,66,0,0,27,40,96,115,0,169,0,77,54,25,69,90,235,111,149
"OTU_126",0,176,313,68,251,12,427,157,102,36,183,83,75,79,316,109,161,93,153,76,82,66,104,62,90,271,263,315,182,289,419,62,92,153,45,171,80,125,228,134
"OTU_128",0,81,88,0,186,0,244,58,22,45,0,131,184,79,132,38,282,103,59,98,124,66,101,49,30,25,0,21,132,138,77,0,86,136,72,155,89,127,100,121
"OTU_129",0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"OTU_130",38,5,34,0,38,12,22,46,222,0,0,30,41,27,30,32,28,4,51,0,59,12,8,5,28,11,3,26,2,11,22,36,50,54,37,31,106,14,26,17
"OTU_131",122,40,474,0,151,27,118,62,10,0,0,38,46,61,62,71,11,132,82,24,91,24,76,8,13,25,0,188,30,29,393,0,53,56,139,25,236,354,120,80
"OTU_132",0,0,0,0,78,64,255,108,6,19,32,147,155,76,149,75,280,79,87,16,68,60,264,0,145,34,4,119,132,42,43,0,75,142,124,59,34,209,46,371
"OTU_133",0,5,80,0,0,0,2,0,0,0,0,23,64,183,94,45,25,36,0,0,40,3,13,0,0,0,0,0,52,0,0,0,60,68,73,189,92,29,23,16
"OTU_134",0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,62,10,0,0,0
"OTU_135",17,201,98,13,62,0,19,11,0,0,0,27,51,6,41,28,81,43,92,0,26,102,55,0,0,44,0,32,0,0,12,0,77,249,17,0,27,135,153,26
"OTU_136",148,139,230,79,9,61,637,241,77,694,311,15,89,31,112,81,103,59,276,72,79,0,74,58,1029,237,21,147,163,293,223,771,56,152,76,101,28,23,48,49
"OTU_138",0,61,98,0,38,11,44,0,0,0,0,64,29,13,51,110,71,86,3,0,43,66,81,0,0,10,0,54,34,0,12,0,124,102,223,53,225,136,183,74
"OTU_139",0,179,63,0,27,0,76,62,0,0,19,26,147,34,43,73,179,46,141,18,37,15,57,0,0,0,0,23,0,0,121,39,90,88,37,0,112,105,93,61
"OTU_140",39,50,77,12,77,327,75,110,21,17,33,54,49,56,86,45,125,44,27,0,23,28,73,28,172,125,79,48,95,0,111,48,62,65,35,117,61,42,41,82
"OTU_141",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,37,33,74,0,0,0,0,28,0,0,0,0,0,0,0,0,0,4,8,0,0,62,66,17,24
"OTU_143",0,0,0,0,25,0,48,56,79,0,105,5,0,10,5,22,55,84,12,12,0,20,101,0,24,0,0,0,29,0,13,0,11,23,41,13,28,72,22,118
"OTU_144",165,63,44,31,90,101,149,63,79,85,34,49,70,121,85,36,140,39,97,0,122,50,93,123,173,278,142,281,276,41,247,0,59,131,91,182,137,67,63,114
"OTU_145",0,0,155,101,24,0,406,6,0,0,0,50,71,18,25,81,21,83,41,14,194,17,52,14,14,43,0,114,26,10,89,0,90,145,121,29,312,120,79,100
