"","S1_bulk1","S1_bulk2","S1_bulk3","S1_bulk4","S1_bulk5","S1_rAo1","S1_rAo2","S1_rAo3","S1_rAo4","S1_rAo5","S1_rAo6","S2_bulk1","S2_bulk2","S2_bulk3","S2_bulk4","S2_bulk5","S2_rVo1","S2_rVo2","S2_rVo3","S2_rVo4","S2_rVo5","S2_rVo6","S2_rVo7","S1_bulk6","S1_bulk7","S1_bulk8","S1_bulk9","S1_bulk10","S1_rAo7","S1_rAo8","S1_rAo9","S1_rAo10","S2_bulk6","S2_bulk7","S2_bulk8","S2_bulk9","S2_bulk10","S2_rVo8","S2_rVo9","S2_rVo10"
"OTU_4236",6,0,0,0,0,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4237",0,0,5,13,0,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,0,0,18,48,0,0,0,0,0,0,0,0
"OTU_4239",0,0,0,0,0,0,0,0,15,42,5,0,14,0,0,7,0,0,0,8,0,10,0,0,33,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"OTU_4240",0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,0,3,0,0,103,0,19,0,0,0,0,0,0,0,0,0
"OTU_4242",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,4,0,9,0,13,0,0,0,3,21,0,20
"OTU_4243",22,0,41,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,10,0,0
"OTU_4246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,15,0,0,0,0,0,0,0,0,1,0,3,6,0,3,0,0,0,0
"OTU_4247",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,6,0,0,0,0,3,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"OTU_4248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,0,9
"OTU_4254",0,8,0,0,8,0,0,0,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,20,0,0,11,0
"OTU_4259",0,0,0,0,0,8,25,0,0,0,20,0,11,0,0,0,0,0,4,13,16,0,0,5,12,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0
"OTU_4261",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,6,0,0,0,6,1
"OTU_4265",0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,0,0,0,5,0,0,0,0,42,35,0,0,0,45,5,6,0,0,0,0,0,0,0,0,0
"OTU_4267",0,5,0,0,0,0,9,0,0,2,0,0,0,0,17,0,3,3,0,0,2,8,5,0,0,0,0,0,0,0,5,0,2,0,0,0,0,2,0,0
"OTU_4271",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_4275",0,0,0,0,0,0,0,0,53,0,0,0,7,7,0,0,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,0,9,0,0,0,0,0,8
"OTU_4279",0,0,10,0,0,0,0,18,76,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,25,0,0,0,0,0,0,0,0,0
"OTU_4280",0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_4281",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0
"OTU_4282",0,0,0,8,15,0,0,0,0,0,0,0,28,4,37,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4285",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_4289",0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,14,0,0,0,23,0,0,0
"OTU_4290",0,0,0,0,0,31,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,24,0,0,0,0
"OTU_4291",0,0,0,0,0,0,0,0,79,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,29,0,0,18,0,0,0,0,0,0,0,0
"OTU_4294",49,23,0,0,0,14,0,15,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4296",0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,17,0,0,26,0,0,33,0,0,0,0,0
"OTU_4300",0,0,0,0,0,0,5,10,7,44,16,0,0,0,0,0,0,0,0,0,7,0,0,5,24,0,0,0,9,18,11,0,0,0,0,0,0,0,0,0
"OTU_4301",51,0,0,0,0,29,0,0,0,0,0,7,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4304",0,11,6,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,5,0,0,0
"OTU_4305",11,19,9,0,11,0,3,9,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,7,0,17,7,0,0,0,0,0,5,0,0,0
"OTU_4307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,11
"OTU_4313",0,0,0,0,0,27,0,17,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,15,18,0,0,0,0,0,0,0,0,0,0,0
"OTU_4323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,12,15
"OTU_4324",0,0,0,0,0,32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,25,0,19,0,0,0,0,0,0,0,0,0
"OTU_4326",20,0,0,0,0,10,6,13,32,0,7,0,0,0,4,0,0,0,0,0,0,0,3,0,0,7,9,0,0,0,14,10,0,0,0,0,10,0,0,0
"OTU_4330",0,0,0,0,0,0,0,0,20,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,0,0,13,29,0,0,20,0,0,0,0,0
"OTU_4335",10,7,11,0,3,0,72,24,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,10,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0
"OTU_4338",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,45,33,0,0
"OTU_4339",0,0,0,17,7,0,44,0,0,2,3,0,13,0,0,0,3,0,0,0,0,0,4,18,0,0,0,6,9,0,7,0,0,0,0,0,9,0,0,0
"OTU_4341",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_4343",0,0,6,0,0,0,6,0,0,0,0,1,0,0,0,4,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11
"OTU_4344",0,0,0,0,0,0,0,15,19,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_4345",0,0,0,0,0,0,14,8,8,13,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0
"OTU_4349",0,0,0,2,0,0,0,1,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,2,5,0,1,0,1,0,0,0,0,82,0
"OTU_4359",0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,14,23,13,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4360",0,0,27,0,12,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,5,0,9,14,0,0,0,0,0,0,0,29,0,0,0
"OTU_4361",22,11,4,0,0,14,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,10,31,0,8,0,0,0,6,0,0,0,0,0,0,0
"OTU_4363",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"OTU_4364",0,0,0,0,0,0,0,21,0,0,37,0,44,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,14,0,11
"OTU_4368",0,0,0,24,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,17,0,0,19,0,0,0,0,0,0,0,14,13,0,0,0,0,6
"OTU_4370",0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
"OTU_4372",0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,3,2,2,2,0,2,0,3,0,3,5,0,0,0,0
"OTU_4374",0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12,8,0,6,25,0,0,0,0,0,0,0,0,0,0,0
"OTU_4375",0,0,0,5,0,0,10,0,0,0,0,2,0,0,3,0,0,5,8,0,7,0,7,0,0,0,0,4,0,0,13,0,0,0,0,0,12,0,0,0
"OTU_4378",0,0,0,0,0,0,0,14,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4382",17,0,0,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4383",0,0,27,0,0,0,0,0,0,0,0,12,9,7,2,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,11,0,1,0,0,0
"OTU_4384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,31,0,30
"OTU_4388",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,14,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,3,0,0,0,17,0,23
"OTU_4391",3,0,0,0,0,29,7,0,0,0,0,0,5,0,0,0,0,25,0,0,0,16,0,0,0,0,0,0,33,0,3,0,0,4,0,0,0,0,0,0
"OTU_4393",19,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,60,0,14,0,0,0,0,0,0,0,0,0,0,0
"OTU_4394",23,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0,29,0,0,0,0,6,11,0,0,0
"OTU_4395",0,10,2,0,12,0,0,0,0,0,0,5,0,12,6,1,9,2,0,0,0,0,0,0,0,2,0,0,0,3,0,0,4,14,5,3,1,0,1,0
"OTU_4397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8
"OTU_4398",6,4,9,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,11,14,0,0,0,14,0,0,0,0,0,0,0,0
"OTU_4401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,20
"OTU_4405",0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,10,43,32,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4406",0,0,0,16,0,0,0,0,0,0,0,0,37,0,9,0,21,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
"OTU_4408",0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,21
"OTU_4412",0,2,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,6,72,0,4,0,0,0,0,0,0,0,4
"OTU_4414",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,10,35,0,0,0
"OTU_4415",0,0,0,0,8,41,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,12,0,46,0,0,0,0,0,0,0,0,0
"OTU_4417",0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,0,6,0,0,0,0,0,0,0,10,0,0,22,0,0,0,0,0,0,0,8,0,0,0
"OTU_4418",0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,29,0,0,0
"OTU_4421",0,0,0,0,0,0,0,0,0,0,0,27,0,28,24,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,28,0,23,0,0,0,0
"OTU_4422",0,0,0,0,0,0,0,0,60,11,0,0,0,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
"OTU_4425",0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,14,0,0,0,0,21,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,13
"OTU_4428",0,0,9,0,0,0,38,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,12,0
"OTU_4429",0,0,0,0,0,0,0,0,36,42,21,0,0,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
"OTU_4432",0,0,0,0,0,0,0,0,24,0,48,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0,34,8,0,0,0,0,0,0,0,0,0,0
"OTU_4433",0,0,0,0,0,5,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,12,8,0,0,0,0,0,0,0,0
"OTU_4434",0,2,8,6,0,0,0,0,0,0,0,0,6,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,0
"OTU_4435",0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,26,0,0,0,43,0,0,0,0,22,0,7,0,0
"OTU_4439",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0
"OTU_4441",0,10,14,0,12,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,10,0,0,0,0,0,12,11,0,0,0,7,11,0,10,0,10,0,0
"OTU_4442",0,0,0,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,33,32,17,0,0,0,0,0,0,0,0
"OTU_4443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,65,0,21,0,0,0,0,0,0
"OTU_4447",0,4,3,0,26,0,5,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,11,0
"OTU_4448",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,13,0,0,9,8,6,0,0,0,4,0,0,0,6,0,7,12,0,0,0,0,9,10
"OTU_4449",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,23,0,72,0,0,0,0,7,0,35,0,0,0,0,0,0,0,0
"OTU_4451",0,11,0,0,9,0,7,16,24,0,0,0,0,21,0,0,0,0,4,0,5,0,0,0,0,0,0,6,0,0,40,5,0,0,0,0,0,0,0,0
"OTU_4454",0,0,0,0,0,0,0,0,0,0,0,17,16,23,19,0,14,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
"OTU_4456",0,0,0,0,0,4,0,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,30,0,0,0,0,0,0,0,0,0,0,0
"OTU_4459",81,22,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,0,0,0
"OTU_4460",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0
"OTU_4464",13,29,0,0,0,0,10,12,0,0,0,0,14,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,8,0,4,6,2,0,0,0
"OTU_4465",0,0,0,0,0,0,3,12,21,6,10,0,0,8,0,0,0,0,0,0,0,0,0,0,24,0,0,9,0,10,8,10,0,0,0,13,6,0,0,0
"OTU_4468",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9
"OTU_4469",60,37,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,7,0,0,0,0,0,0,0,0,0,0
"OTU_4470",0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,16,0
"OTU_4471",102,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,4,7,0,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,0
"OTU_4476",0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12,0,0,0
"OTU_4479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,6,5
"OTU_4483",20,61,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_4485",0,0,0,0,0,43,0,10,0,0,45,0,4,0,0,0,0,0,0,0,0,0,7,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4486",0,0,2,0,4,0,0,0,0,0,0,3,13,0,14,0,6,0,4,0,0,5,0,0,0,0,0,0,2,3,0,0,18,11,0,0,6,0,13,0
"OTU_4487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,40
"OTU_4488",0,0,0,0,0,0,0,0,0,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
"OTU_4489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,15,14,4,0
"OTU_4490",0,0,0,0,30,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,53,0,0,0,0,0,0,0,0,0,0
"OTU_4492",0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19
"OTU_4497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,7,0,0,0
"OTU_4498",13,0,10,0,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,11,16,0,0,0,0,10,0,0,0,0,0,0,0
"OTU_4500",0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,11,0,96,0,0,0,0,0,0,0,0
"OTU_4501",0,0,0,0,0,0,0,13,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,16,19,0,0,4,34,0,35,0,0,0,0,0,0,0,0
"OTU_4503",3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,0,0,0,2,0,0,0,0,0,0,0,0,0
"OTU_4506",0,0,0,0,3,0,0,21,34,0,0,0,0,0,7,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"OTU_4515",11,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,44,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4517",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,4,0,0,0
"OTU_4518",44,0,4,0,16,0,7,15,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,19,0,0,0,0,0,0,3,0,0
"OTU_4520",0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,9,0,12,0,0,0,0,0,11,18,0,0,0,0,33,0,0,0
"OTU_4528",0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"OTU_4530",5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,50,0,5,30,0,0,0,0,0,0,0,0,0,0,0
"OTU_4531",64,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0
"OTU_4532",0,64,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,23,0,0,0,0
"OTU_4535",0,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,13,0,22,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"OTU_4537",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,0,0,19,2,14,10,24,0,8,6,0,0,0,0,0,0,0,0,3
"OTU_4542",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9
"OTU_4546",0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6
"OTU_4549",0,0,0,0,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,5,0,12,0,0,0,0,0,3,0,0,11,4,0,0,9,0,8
"OTU_4550",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,31,0
"OTU_4551",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,15,0,10,0,0,8,0,15
"OTU_4557",0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,112,0,0,0,0,0,0,0,0
"OTU_4559",0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,7,0,0,4,13,0,0,0,0,0,0,4,74,0,6,9,0,0,0,0,0,0
"OTU_4563",0,19,0,0,0,0,8,23,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,49,0,0,0,12,26,0,0,0,0,0,0,0,0,0
"OTU_4567",0,0,0,0,0,0,0,0,0,29,21,0,0,0,0,0,0,0,0,0,0,0,0,66,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"OTU_4572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,20,0
"OTU_4573",0,2,0,0,0,0,0,23,53,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
"OTU_4575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,19,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"OTU_4580",0,91,5,0,6,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
"OTU_4581",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"OTU_4583",0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,7,0
"OTU_4585",0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"OTU_4587",0,0,0,0,0,0,0,0,0,0,0,15,13,0,17,0,43,0,0,0,5,21,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
"OTU_4588",0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"OTU_4590",0,25,0,0,0,0,13,0,0,0,0,0,0,0,18,0,0,0,15,0,9,0,0,0,0,0,6,9,0,0,7,0,8,13,0,0,0,12,6,0
"OTU_4591",0,0,0,20,0,0,0,0,0,0,0,0,12,0,0,0,0,0,44,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
"OTU_4596",0,0,0,0,0,0,0,32,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,27,0,4
"OTU_4600",9,0,0,0,0,0,0,54,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0
"OTU_4602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14
"OTU_4604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,13,31,0,0
"OTU_4608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,16,4,0,2
"OTU_4610",0,0,11,0,14,0,17,0,0,0,0,0,0,0,0,0,16,0,0,0,0,8,0,0,0,0,0,19,7,0,11,0,0,4,0,11,0,0,0,0
