	S1_bulk1	S1_bulk2	S1_bulk3	S1_bulk4	S1_bulk5	S1_bulk6	S1_bulk7	S1_bulk8	S1_bulk9	S1_bulk10	S2_bulk1	S2_bulk2	S2_bulk3	S2_bulk4	S2_bulk5	S2_bulk6	S2_bulk7	S2_bulk8	S2_bulk9	S2_bulk10	S1_rAo1	S1_rAo2	S1_rAo3	S1_rAo4	S1_rAo5	S1_rAo6	S1_rAo7	S1_rAo8	S1_rAo9	S1_rAo10	S2_rVo1	S2_rVo2	S2_rVo3	S2_rVo4	S2_rVo5	S2_rVo6	S2_rVo7	S2_rVo8	S2_rVo9	S2_rVo10
OTU_4393	19	0	0	0	0	0	0	29	60	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4394	23	0	3	0	0	0	0	18	28	0	0	0	0	0	0	0	0	0	6	11	0	0	10	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
OTU_4395	0	10	2	0	12	0	0	2	0	0	5	0	12	6	1	4	14	5	3	1	0	0	0	0	0	0	0	3	0	0	9	2	0	0	0	0	0	0	1	0
OTU_4396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	25	10	0
OTU_4397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	13	5	8
OTU_4398	6	4	9	0	0	0	23	40	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	14	0	0	0	0	0	0	0	0	0	0
OTU_4399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
OTU_4400	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	47	0	0	0	0	0	0	0	0	0	0
OTU_4401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	20
OTU_4403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
OTU_4404	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_4405	0	0	0	0	0	8	0	10	43	32	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
OTU_4406	0	0	0	16	0	0	0	0	0	0	0	37	0	9	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	44	0	0	0	0	0
OTU_4407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4408	0	10	4	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	21
OTU_4409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	135	0	0	0	11	0	0	0	0	0	0	0	0	0	0
OTU_4410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
OTU_4412	0	2	0	0	0	0	11	0	0	0	0	5	0	0	0	0	0	0	0	0	0	7	0	0	0	0	6	72	0	4	0	0	0	0	0	0	3	0	0	4
OTU_4413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	4	0	0	0	0	0	0	0	0
OTU_4414	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	0	8	10	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4415	0	0	0	0	8	7	0	0	0	11	0	0	0	0	0	0	0	0	0	0	41	18	7	0	0	0	12	0	46	0	0	0	0	0	0	0	0	0	0	0
OTU_4416	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4417	0	0	0	0	0	0	0	10	0	0	0	0	7	0	12	0	0	0	0	8	0	0	0	0	0	0	22	0	0	0	0	6	0	0	0	0	0	0	0	0
OTU_4418	0	0	0	0	0	0	0	0	0	0	0	0	35	35	11	0	0	15	19	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
OTU_4421	0	0	0	0	0	0	0	0	0	0	27	0	28	24	0	0	28	0	23	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	7	0	0	0	0
OTU_4422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	11	0	0	0	19	0	3	0	3	0	0	0	10	0	0	0
OTU_4423	0	0	0	0	0	0	0	79	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	5	0	0	7	0	0	14	0	0	0	0	21	0	0	13
OTU_4427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	1	0	0	0
OTU_4428	0	0	9	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	26	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	12	0
OTU_4429	0	0	0	0	0	0	21	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	42	21	0	0	24	0	0	0	0	0	0	0	0	0	0	0
OTU_4432	0	0	0	0	0	24	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	48	34	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4433	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	7	10	20	0	0	0	12	8	0	0	0	0	0	0	0	0	0	0
OTU_4434	0	2	8	6	0	0	0	0	0	0	0	6	11	0	8	0	0	0	0	9	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4435	0	0	28	0	0	8	0	0	26	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	7	0	0
OTU_4436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0
OTU_4439	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	23	0	0
OTU_4440	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	8	0	0	0
OTU_4441	0	10	14	0	12	0	0	0	0	12	0	0	0	20	0	7	11	0	10	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	10	0	10	0	0
OTU_4442	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	33	32	17	0	0	0	0	0	0	0	0	0	0
OTU_4443	0	0	0	0	0	0	41	0	0	0	0	0	0	0	16	0	21	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0
OTU_4445	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
OTU_4447	0	4	3	0	26	0	0	6	14	0	0	0	0	3	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
OTU_4448	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	7	12	0	0	0	0	0	0	0	0	0	0	0	6	0	3	13	0	0	9	8	6	0	9	10
OTU_4449	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	7	0	35	0	0	0	0	0	0	23	0	0	0
OTU_4450	78	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4451	0	11	0	0	9	0	0	0	0	6	0	0	21	0	0	0	0	0	0	0	0	7	16	24	0	0	0	0	40	5	0	0	4	0	5	0	0	0	0	0
OTU_4454	0	0	0	0	0	0	0	0	0	0	17	16	23	19	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	2	6	0	0	0	0
OTU_4456	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	4	0	18	0	22	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4457	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0
OTU_4459	81	22	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	5	0	6	0	0
OTU_4461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7
OTU_4463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	14	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4464	13	29	0	0	0	0	0	0	0	0	0	14	0	12	0	8	0	4	6	2	0	10	12	0	0	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0
OTU_4465	0	0	0	0	0	0	24	0	0	9	0	0	8	0	0	0	0	0	13	6	0	3	12	21	6	10	0	10	8	10	0	0	0	0	0	0	0	0	0	0
OTU_4466	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
OTU_4467	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	7	6	0	9
OTU_4469	60	37	0	0	0	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4470	0	0	3	0	0	0	0	0	0	0	0	0	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
OTU_4471	102	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	4	7	0	0	0
OTU_4473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	5
OTU_4474	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	29	0	16
OTU_4476	0	0	0	0	0	0	0	0	0	0	0	0	7	11	6	0	0	0	16	12	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OTU_4478	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	6	5
OTU_4480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
OTU_4483	20	61	0	0	0	0	0	0	12	4	3	10	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4485	0	0	0	0	0	0	37	0	0	0	0	4	0	0	0	0	0	0	0	0	43	0	10	0	0	45	0	0	0	0	0	0	0	0	0	0	7	0	0	0
OTU_4486	0	0	2	0	4	0	0	0	0	0	3	13	0	14	0	18	11	0	0	6	0	0	0	0	0	0	2	3	0	0	6	0	4	0	0	5	0	0	13	0
OTU_4487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	16	0	40
OTU_4488	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	17	0	0	0	60	0	0	0	0	0	0	0	0	0	0
OTU_4489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	14	4	0
OTU_4490	0	0	0	0	30	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	41	53	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4492	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	17	0	0	0	0	0	0	12	0	19
OTU_4495	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	0	0	0	0	0
OTU_4497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
OTU_4498	13	0	10	0	10	0	5	19	11	16	0	0	0	0	0	10	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0
OTU_4500	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	6	0	4	11	0	96	0	0	0	0	0	0	0	0	0	0
OTU_4501	0	0	0	0	0	0	16	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	5	4	34	0	35	0	0	19	0	0	0	0	0	0	0
OTU_4502	0	0	0	0	0	0	0	0	0	0	0	0	34	16	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4503	3	0	0	0	0	0	0	0	34	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU_4504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU_4505	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4506	0	0	0	0	3	0	0	0	0	0	0	0	0	7	0	0	13	0	0	0	0	0	21	34	0	0	0	0	0	0	8	0	15	0	0	0	0	0	0	0
OTU_4509	7	0	0	0	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
OTU_4514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	14	0	0
OTU_4515	11	0	0	0	0	0	44	0	17	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
OTU_4516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4517	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	10	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4518	44	0	4	0	16	0	0	0	0	12	0	0	17	0	0	0	0	0	0	0	0	7	15	0	0	0	0	0	19	0	0	0	0	0	0	0	0	3	0	0
OTU_4519	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4520	0	0	0	0	0	0	12	0	0	0	0	0	0	0	4	0	0	0	0	33	0	19	0	0	0	0	0	0	11	18	0	0	0	0	6	0	9	0	0	0
OTU_4521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
OTU_4522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	8	0	0	0
OTU_4528	0	12	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_4530	5	0	0	0	0	0	31	50	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4531	64	0	0	0	0	0	0	0	5	0	0	0	0	6	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU_4532	0	64	0	0	0	0	0	19	0	0	0	0	16	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0
OTU_4535	0	0	0	0	0	13	0	22	0	0	0	15	0	0	0	0	0	0	0	0	0	14	0	0	0	0	35	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_4537	0	0	0	0	0	19	2	14	10	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	6	0	0	0	0	10	0	0	0	0	0	3
OTU_4538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
OTU_4539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4541	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
OTU_4545	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0
OTU_4546	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	7	0	21	0	4	0	3	6
OTU_4547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
OTU_4549	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	11	4	0	0	0	10	0	0	0	0	0	0	3	0	0	0	0	3	0	0	5	9	0	8
OTU_4550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	11	0	0	0	12	31	0
OTU_4551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	15
OTU_4553	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
OTU_4554	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	25
OTU_4555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4556	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4557	0	14	0	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	112	0	0	0	0	0	0	0	0	0	0
OTU_4558	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	20	0	0	0	0	0	4	74	0	5	0	7	0	0	4	13	0	0	0
OTU_4560	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0
OTU_4561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4563	0	19	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	8	23	0	0	0	0	12	26	0	0	0	0	5	0	0	0	0	0	0
OTU_4566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4567	0	0	0	0	0	66	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	21	13	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	26	0	0
OTU_4571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
OTU_4572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	33	7	0	11	0	0	6	20	0
OTU_4573	0	2	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	53	0	2	0	0	0	33	0	0	0	0	0	0	0	0	0	0
OTU_4574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0
OTU_4575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	13	19	0	10	0	0	4
OTU_4576	0	0	0	0	0	0	0	105	27	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4579	0	55	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4580	0	91	5	0	6	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
OTU_4581	7	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
OTU_4582	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_4583	0	0	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0
OTU_4584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
OTU_4585	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
OTU_4586	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	25	0	0	0	0
OTU_4587	0	0	0	0	0	0	0	0	0	0	15	13	0	17	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	5	21	0	0	0	0
OTU_4588	0	3	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	6	0	0
OTU_4590	0	25	0	0	0	0	0	0	6	9	0	0	0	18	0	8	13	0	0	0	0	13	0	0	0	0	0	0	7	0	0	0	15	0	9	0	0	12	6	0
OTU_4591	0	0	0	20	0	0	0	0	0	0	0	12	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	11	5	0	0	0	0
OTU_4595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5
OTU_4596	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	32	24	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	4
OTU_4599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0
OTU_4600	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	29	4	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
