	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_118	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Microvirga	
OTU_119	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_120	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		
OTU_121	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales			
OTU_122	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales			
OTU_123	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_124	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_125	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_126	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Rhodoplanes	
OTU_128	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_129	Bacteria	Actinomycetota	MB-A2-108				
OTU_130	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Rhodoplanes	
OTU_131	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	
OTU_132	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Arenimicrobium	
OTU_133	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_134	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	B1-7BS		
OTU_135	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_136	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_138	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_139	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Ellin6055	
OTU_140	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		
OTU_141	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_142	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_143	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_144	Bacteria	Chloroflexota	KD4-96				
OTU_145	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	
OTU_146	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales			
OTU_147	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_148	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_149	Bacteria	Pseudomonadota	Gammaproteobacteria	CCD24			
OTU_150	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales			
OTU_151	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			
OTU_152	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_153	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_154	Bacteria	Chloroflexota	TK10				
OTU_155	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales			
OTU_156	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_157	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiales Incertae Sedis	Nordella	
OTU_158	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
OTU_159	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Brevitalea	
OTU_160	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_161	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		
OTU_162	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales			
OTU_164	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Microvirga	
OTU_165	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Virgisporangium	
OTU_166	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_167	Bacteria	NB1-j					
OTU_168	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodomicrobiaceae	Rhodomicrobium	
OTU_169	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_171	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Kibdelosporangium	
OTU_172	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_173	Bacteria	Chloroflexota	KD4-96				
OTU_174	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_175	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_176	Bacteria						
OTU_177	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_178	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Pseudolysinimonas	
OTU_179	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae		
OTU_180	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_181	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	TRA3-20		
OTU_182	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhodomicrobiaceae	Rhodomicrobium	
OTU_183	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	TRA3-20		
OTU_184	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_185	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_186	Bacteria	Actinomycetota	Acidimicrobiia	Actinomarinales			
OTU_187	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_188	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocella	
OTU_189	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_190	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_191	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales			
OTU_192	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes	
OTU_193	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Arenimicrobium	
OTU_194	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Pedomicrobium	
OTU_195	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_196	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_197	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_198	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_199	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	
OTU_200	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	
OTU_201	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	
OTU_202	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_203	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_205	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
OTU_206	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	
OTU_207	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_209	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_210	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_211	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_212	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_213	Bacteria	Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae		
OTU_214	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
OTU_215	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_217	Bacteria	Actinomycetota	MB-A2-108				
OTU_218	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Promicromonosporaceae	Promicromonospora	
OTU_219	Bacteria	Actinomycetota	Actinobacteria	0319-7L14			
OTU_220	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_221	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	
OTU_222	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_223	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_224	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_225	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	
OTU_226	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_227	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			
OTU_228	Bacteria	Actinomycetota	Actinobacteria	0319-7L14			
OTU_229	Bacteria	Pseudomonadota	Alphaproteobacteria				
OTU_230	Bacteria	Actinomycetota	Actinobacteria	Kineosporiales	Kineosporiaceae		
OTU_231	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_232	Bacteria	Acidobacteriota	Blastocatellia	Nov-24			
OTU_233	Bacteria	Actinomycetota	Thermoleophilia				
OTU_234	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_235	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_236	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_237	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_238	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	
OTU_239	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_240	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Bosea	
OTU_241	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Paraconexibacter	
OTU_242	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	
OTU_243	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_244	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae	Asanoa	
OTU_245	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_246	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Luteimonas	
OTU_247	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_248	Bacteria	Pseudomonadota	Gammaproteobacteria	Ga0077536			
OTU_249	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)		
OTU_250	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_251	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_252	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_253	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_254	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	
OTU_255	Bacteria	Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera	
OTU_256	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
OTU_257	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Luteimonas	
OTU_258	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_259	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_261	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	
OTU_262	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_263	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_264	Bacteria	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
OTU_265	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_266	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_267	Bacteria	Actinomycetota	MB-A2-108				
OTU_268	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_269	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia-Caballeronia-Paraburkholderia	
OTU_270	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_271	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	
OTU_272	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	Desertimonas	
OTU_274	Bacteria	Methylomirabilota	Methylomirabilia	Rokubacteriales			
OTU_275	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_276	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_277	Bacteria	Chloroflexota	TK10				
OTU_278	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae		
OTU_279	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_280	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	
OTU_281	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_282	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_283	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae		
OTU_284	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	
OTU_285	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae		
OTU_286	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	
OTU_288	Bacteria	Chloroflexota	Dehalococcoidia	S085			
OTU_289	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae		
OTU_290	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
