	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_31520	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola	
OTU_31521	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Bradyrhizobium	
OTU_31522	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_31523	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_31524	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_31529	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas	
OTU_31531	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Taibaiella	
OTU_31534	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_31572	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae		
OTU_31576	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae		
OTU_31577	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidiferrimicrobium	
OTU_31578	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales			
OTU_31611	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales			
OTU_31612	Bacteria	Chloroflexota	TK10				
OTU_31613	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_31620	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_31629	Bacteria	Patescibacteria					
OTU_31630	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	
OTU_31631	Bacteria	Planctomycetota	Phycisphaerae	S-70			
OTU_31632	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_31633	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_31634	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20			
OTU_31635	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales			
OTU_31636	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae		
OTU_31637	Bacteria	Pseudomonadota	Gammaproteobacteria				
OTU_31638	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84		
OTU_31639	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 2			
OTU_31640	Bacteria	Elusimicrobiota	Lineage IIa				
OTU_31641	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_31642	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae		
OTU_31643	Bacteria	Gemmatimonadota	Longimicrobiia	Longimicrobiales	Longimicrobiaceae		
OTU_31644	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	Brevitalea	
OTU_31645	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_31649	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Opitutales	Opitutaceae		
OTU_31679	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_31681	Bacteria	Actinomycetota	Actinobacteria				
OTU_31707	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
OTU_31739	Bacteria						
OTU_31740	Bacteria	Planctomycetota					
OTU_31741	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_31742	Bacteria	Patescibacteria	Parcubacteria				
OTU_31743	Bacteria	Patescibacteria	Parcubacteria	Candidatus Adlerbacteria			
OTU_31744	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae		
OTU_31745	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_31746	Bacteria	Bacillota	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	
OTU_31747	Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria			
OTU_31748	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_31749	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_31750	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae		
OTU_31751	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_31752	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae		
OTU_31753	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_31754	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Advenella	
OTU_31755	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		
OTU_31756	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
OTU_31760	Bacteria	Actinomycetota	Actinobacteria				
OTU_31761	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_31762	Bacteria	Actinomycetota	Rubrobacteria	Rubrobacterales	Rubrobacteriaceae	Rubrobacter	
OTU_31766	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
OTU_31767	Bacteria						
OTU_31768	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales			
OTU_31771	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae		
OTU_31772	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodospirillales			
OTU_31773	Bacteria	Actinomycetota	MB-A2-108				
OTU_31774	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
OTU_31780	Bacteria	Cyanobacteriota	Sericytochromatia				
OTU_31784	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_31786	Bacteria	Acidobacteriota	Blastocatellia	Elev-16S-573			
OTU_31813	Bacteria	Chloroflexota	TK10				
OTU_31814	Bacteria	Actinomycetota	MB-A2-108				
OTU_31817	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_31818	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae		
OTU_31842	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_31846	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae		
OTU_31848	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales			
OTU_31849	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_31850	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_31851	Bacteria	Armatimonadota	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae		
OTU_31852	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8		
OTU_31871	Bacteria	Myxococcota	Polyangiia	Polyangiales	BIrii41		
OTU_31876	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae		
OTU_31877	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_31878	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinomycetospora	
OTU_31897	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_31923	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella	
OTU_31924	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_31925	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellula	
OTU_31926	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_31950	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
OTU_31962	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	
OTU_31963	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
OTU_31964	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
OTU_31965	Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria			
OTU_31966	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia	
OTU_31967	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_31968	Bacteria	Chloroflexota	Chloroflexia	Kallotenuales	AKIW781		
OTU_31969	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_31970	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Panacibacter	
OTU_31971	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_31973	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Xiphinematobacteraceae	Candidatus Xiphinematobacter	
OTU_31975	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_31977	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae		
OTU_32023	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	possible genus 04	
OTU_32024	Bacteria	Myxococcota	Polyangiia	Polyangiales	Phaselicystaceae	Phaselicystis	
OTU_32025	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_32026	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
OTU_32038	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	
OTU_32039	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_32040	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	
OTU_32041	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Ovatusbacter	
OTU_32042	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	
OTU_32043	Bacteria	Acidobacteriota	Blastocatellia	Nov-24			
OTU_32044	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20			
OTU_32045	Bacteria	Planctomycetota	vadinHA49				
OTU_32046	Bacteria	Chloroflexota	SHA-26				
OTU_32047	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	
OTU_32048	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Comamonadaceae		
OTU_32049	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tundrisphaera	
OTU_32050	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_32051	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium	
OTU_32052	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	
OTU_32053	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_32054	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_32055	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU_32056	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	
OTU_32057	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Roseomonas	
OTU_32058	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae		
OTU_32060	Bacteria	Abditibacteriota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	Abditibacterium	
OTU_32061	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20			
OTU_32062	Bacteria	Myxococcota	bacteriap25				
OTU_32063	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae		
OTU_32064	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32065	Bacteria	Chloroflexota	TK10				
OTU_32087	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Neochlamydia	
OTU_32088	Bacteria	Actinomycetota	Actinobacteria	Frankiales			
OTU_32089	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	
OTU_32090	Bacteria	Actinomycetota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	
OTU_32091	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_32092	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	
OTU_32093	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	
OTU_32094	Bacteria	Patescibacteria	Parcubacteria	Candidatus Kaiserbacteria			
OTU_32095	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae		
OTU_32096	Bacteria	Myxococcota	bacteriap25				
OTU_32097	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_32098	Bacteria	Acidobacteriota	Acidobacteriae	Terriglobales	Acidobacteriaceae (Subgroup 1)	Bryocella	
OTU_32099	Bacteria	Actinomycetota	MB-A2-108				
OTU_32100	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU_32101	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae		
OTU_32102	Bacteria	Incertae Sedis	Incertae Sedis	SJA-28			
OTU_32103	Bacteria	Actinomycetota	Thermoleophilia				
OTU_32104	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	
OTU_32105	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32119	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU_32122	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales			
OTU_32123	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae		
OTU_32124	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Roseiflexaceae		
OTU_32126	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_32128	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_32129	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32130	Bacteria						
OTU_32131	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Microlunatus	
OTU_32132	Bacteria	Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	
OTU_32133	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32134	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	
OTU_32135	Bacteria	Thermodesulfobacteriota					
OTU_32136	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32137	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Micrococcaceae		
OTU_32138	Bacteria	Myxococcota	Myxococcia	Myxococcales	Vulgatibacteraceae	Vulgatibacter	
OTU_32139	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
OTU_32140	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	A21b		
OTU_32141	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Devosiaceae	Devosia	
OTU_32142	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
OTU_32143	Bacteria	Chloroflexota	TK10				
OTU_32144	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	
OTU_32145	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tautonia	
OTU_32146	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales			
OTU_32147	Bacteria	Armatimonadota	Chthonomonadia	Chthonomonadales			
OTU_32148	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Sutterellaceae		
OTU_32149	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Promicromonosporaceae		
OTU_32150	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_32151	Bacteria	Actinomycetota	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU_32153	Bacteria	Actinomycetota	MB-A2-108				
OTU_32155	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_32156	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	
OTU_32160	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
OTU_32161	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	
OTU_32162	Bacteria	SAR324 clade(Marine group B)	Incertae Sedis	Incertae Sedis	Incertae Sedis	Candidatus Nitrosoarchaeum	
OTU_32169	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_32170	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae	Sandaracinus	
OTU_32171	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_32172	Bacteria	Abditibacteriota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	Abditibacterium	
OTU_32173	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
OTU_32174	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32177	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU_32178	Bacteria	Chloroflexota	TK10				
OTU_32179	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32180	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_32181	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae		
OTU_32182	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20			
OTU_32183	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae		
OTU_32184	Bacteria	Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Candidatus Alysiosphaera	
OTU_32198	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_32199	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	
OTU_32200	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32201	Bacteria	Chloroflexota	SHA-26				
OTU_32202	Bacteria	Acidobacteriota	Acidobacteriae	Solibacterales	Solibacteraceae	Candidatus Solibacter	
OTU_32203	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Candidatus Udaeobacter	
OTU_32204	Bacteria	Elusimicrobiota	Lineage IIa				
OTU_32205	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_32206	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_32207	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmataceae	type III	
OTU_32208	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
OTU_32209	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	cvE6		
OTU_32210	Bacteria	Patescibacteria	Parcubacteria				
OTU_32211	Bacteria	Actinomycetota	Actinobacteria	Mycobacteriales	Nocardiaceae	Nocardia	
OTU_32212	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32229	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_32230	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	
OTU_32231	Bacteria	Acidobacteriota	Subgroup 22				
OTU_32232	Bacteria	Actinomycetota	Actinobacteria	0319-7L14			
OTU_32257	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU_32258	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14		
OTU_32259	Bacteria	Acidobacteriota	Blastocatellia	Nov-24			
OTU_32285	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales			
OTU_32286	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales			
OTU_32287	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	
OTU_32288	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_32289	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	SC-I-84		
OTU_32290	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Tautonia	
OTU_32291	Bacteria	Entotheonellaeota	Entotheonellia	Entotheonellales	Entotheonellaceae		
OTU_32292	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales			
OTU_32293	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32294	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	
OTU_32295	Bacteria	Sumerlaeota	Sumerlaeia	Sumerlaeales	Sumerlaeaceae	Sumerlaea	
OTU_32296	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	
OTU_32297	Bacteria	Actinomycetota	Actinobacteria	Kitasatosporales	Streptomycetaceae	Streptomyces	
OTU_32298	Bacteria	Pseudomonadota	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	
OTU_32299	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767		
OTU_32300	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32301	Bacteria	Actinomycetota	MB-A2-108				
OTU_32302	Bacteria	Pseudomonadota	Gammaproteobacteria	Rickettsiellales	Rickettsiellaceae	Aquicella	
OTU_32303	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
OTU_32304	Bacteria	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	
OTU_32305	Bacteria	Chloroflexota	Anaerolineae	Aggregatilineales	A4b		
OTU_32306	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20			
OTU_32307	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae		
OTU_32308	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Lysobacter	
OTU_32309	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	PB19			
OTU_32310	Bacteria	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	FFCH7168	
OTU_32311	Bacteria	Myxococcota	Polyangiia	Polyangiales	Sandaracinaceae		
OTU_32312	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20			
OTU_32339	Bacteria	Patescibacteria	Microgenomatia	Candidatus Levybacteria			
OTU_32340	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	CPla-3 termite group		
OTU_32341	Bacteria						
OTU_32342	Bacteria	Bacillota					
OTU_32343	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8		
OTU_32344	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae		
OTU_32345	Bacteria	Pseudomonadota	Alphaproteobacteria				
OTU_32346	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Procabacteriaceae	Procabacter	
OTU_32347	Bacteria	Latescibacterota					
OTU_32348	Bacteria	Pseudomonadota	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	
OTU_32349	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage IV			
OTU_32350	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32351	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Actinopolymorpha	
OTU_32352	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	LWQ8		
OTU_32353	Bacteria	Chloroflexota	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
OTU_32354	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae		
OTU_32355	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32356	Bacteria	Armatimonadota	Chthonomonadia	Chthonomonadales	Chthonomonadaceae	Chthonomonas	
OTU_32357	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae	Candidatus Protochlamydia	
OTU_32358	Bacteria	Actinomycetota	MB-A2-108				
OTU_32359	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
OTU_32360	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32361	Bacteria	Myxococcota	Polyangiia	Haliangiales	Haliangiaceae		
OTU_32362	Bacteria	Pseudomonadota	Gammaproteobacteria	EC3			
OTU_32363	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32364	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_32365	Bacteria	Patescibacteria					
OTU_32366	Bacteria	Actinomycetota	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans	
OTU_32367	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_32370	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales			
OTU_32371	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales			
OTU_32390	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
OTU_32396	Bacteria	Pseudomonadota	Alphaproteobacteria	Elsterales			
OTU_32407	Bacteria	Actinomycetota	Acidimicrobiia	Microtrichales	Iamiaceae	Aquihabitans	
OTU_32413	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Methylacidiphilales	Methylacidiphilaceae		
OTU_32414	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	
OTU_32415	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Parachlamydiaceae		
OTU_32416	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 15			
OTU_32417	Bacteria	Actinomycetota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	
OTU_32418	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus	
